V1	V(vbe)	V(vbin)	V(vce)
0.000000000000000e+00	5.000100e-08	0.000000e+00	5.000000e+00
5.000000000000000e-02	5.000005e-02	5.000000e-02	5.000000e+00
1.000000000000000e-01	1.000000e-01	1.000000e-01	5.000000e+00
1.500000000000000e-01	1.500001e-01	1.500000e-01	5.000000e+00
2.000000000000000e-01	2.000000e-01	2.000000e-01	5.000000e+00
2.500000000000000e-01	2.500001e-01	2.500000e-01	5.000000e+00
3.000000000000000e-01	3.000000e-01	3.000000e-01	5.000000e+00
3.500000000000000e-01	3.500000e-01	3.500000e-01	5.000000e+00
4.000000000000000e-01	4.000000e-01	4.000000e-01	5.000000e+00
4.500000000000000e-01	4.499997e-01	4.500000e-01	4.999999e+00
5.000000000000000e-01	4.999976e-01	5.000000e-01	4.999995e+00
5.500000000000000e-01	5.499828e-01	5.500000e-01	4.999966e+00
6.000000000000001e-01	5.998819e-01	6.000000e-01	4.999763e+00
6.500000000000000e-01	6.492046e-01	6.500000e-01	4.998409e+00
7.000000000000001e-01	6.952764e-01	7.000000e-01	4.990553e+00
7.500000000000000e-01	7.311170e-01	7.500000e-01	4.962234e+00
8.000000000000000e-01	7.540938e-01	8.000000e-01	4.908187e+00
8.500000000000001e-01	7.688340e-01	8.500000e-01	4.837668e+00
9.000000000000000e-01	7.791332e-01	9.000000e-01	4.758266e+00
9.500000000000001e-01	7.868866e-01	9.500000e-01	4.673773e+00
1.000000000000000e+00	7.930439e-01	1.000000e+00	4.586088e+00
