Freq.	V(out3)
1.00000000000000e+00	1.56981211984466e+00,-1.69694102495237e-02
1.49949949949950e+00	1.56958303875187e+00,-2.54469272601491e-02
1.99899899899900e+00	1.56926220739862e+00,-3.39260061365552e-02
2.49849849849850e+00	1.56884943456875e+00,-4.24071621796365e-02
2.99799799799800e+00	1.56834447426398e+00,-5.08909064123128e-02
3.49749749749750e+00	1.56774702556928e+00,-5.93777444887635e-02
3.99699699699700e+00	1.56705673248895e+00,-6.78681755890702e-02
4.49649649649650e+00	1.56627318375361e+00,-7.63626912962928e-02
4.99599599599600e+00	1.56539591259862e+00,-8.48617744529711e-02
5.49549549549550e+00	1.56442439651446e+00,-9.33658979940065e-02
5.99499499499499e+00	1.56335805696933e+00,-1.01875523752836e-01
6.49449449449449e+00	1.56219625910496e+00,-1.10391101237765e-01
6.99399399399399e+00	1.56093831140617e+00,-1.18913066375273e-01
7.49349349349349e+00	1.55958346534486e+00,-1.27441840217040e-01
7.99299299299299e+00	1.55813091499967e+00,-1.35977827607402e-01
8.49249249249249e+00	1.55657979665194e+00,-1.44521415807846e-01
8.99199199199199e+00	1.55492918835934e+00,-1.53072973075107e-01
9.49149149149149e+00	1.55317810950834e+00,-1.61632847189350e-01
9.99099099099099e+00	1.55132552034678e+00,-1.70201363928831e-01
1.04904904904905e+01	1.54937032149824e+00,-1.78778825487360e-01
1.09899899899900e+01	1.54731135345966e+00,-1.87365508830780e-01
1.14894894894895e+01	1.54514739608412e+00,-1.95961663988625e-01
1.19889889889890e+01	1.54287716805081e+00,-2.04567512276978e-01
1.24884884884885e+01	1.54049932632423e+00,-2.13183244448499e-01
1.29879879879880e+01	1.53801246560512e+00,-2.21809018765459e-01
1.34874874874875e+01	1.53541511777558e+00,-2.30444958991539e-01
1.39869869869870e+01	1.53270575134135e+00,-2.39091152298058e-01
1.44864864864865e+01	1.52988277087418e+00,-2.47747647080159e-01
1.49859859859860e+01	1.52694451645766e+00,-2.56414450678438e-01
1.54854854854855e+01	1.52388926314022e+00,-2.65091527001336e-01
1.59849849849850e+01	1.52071522039912e+00,-2.73778794043597e-01
1.64844844844845e+01	1.51742053161975e+00,-2.82476121295929e-01
1.69839839839840e+01	1.51400327359484e+00,-2.91183327040965e-01
1.74834834834835e+01	1.51046145604863e+00,-2.99900175530540e-01
1.79829829829830e+01	1.50679302119129e+00,-3.08626374039198e-01
1.84824824824825e+01	1.50299584330961e+00,-3.17361569788815e-01
1.89819819819820e+01	1.49906772840006e+00,-3.26105346739156e-01
1.94814814814815e+01	1.49500641385114e+00,-3.34857222239152e-01
1.99809809809810e+01	1.49080956818235e+00,-3.43616643533664e-01
2.04804804804805e+01	1.48647479084761e+00,-3.52382984120492e-01
2.09799799799800e+01	1.48199961211156e+00,-3.61155539952431e-01
2.14794794794795e+01	1.47738149300800e+00,-3.69933525479186e-01
2.19789789789790e+01	1.47261782539006e+00,-3.78716069524061e-01
2.24784784784785e+01	1.46770593208272e+00,-3.87502210990431e-01
2.29779779779780e+01	1.46264306714883e+00,-3.96290894393146e-01
2.34774774774775e+01	1.45742641628062e+00,-4.05080965210205e-01
2.39769769769770e+01	1.45205309732962e+00,-4.13871165050256e-01
2.44764764764765e+01	1.44652016098864e+00,-4.22660126631770e-01
2.49759759759760e+01	1.44082459164040e+00,-4.31446368570057e-01
2.54754754754755e+01	1.43496330838848e+00,-4.40228289968711e-01
2.59749749749750e+01	1.42893316628706e+00,-4.49004164812496e-01
2.64744744744745e+01	1.42273095778710e+00,-4.57772136159291e-01
2.69739739739740e+01	1.41635341441769e+00,-4.66530210129283e-01
2.74734734734735e+01	1.40979720872228e+00,-4.75276249690337e-01
2.79729729729730e+01	1.40305895647083e+00,-4.84007968239306e-01
2.84724724724725e+01	1.39613521916997e+00,-4.92722922979950e-01
2.89719719719720e+01	1.38902250689455e+00,-5.01418508099201e-01
2.94714714714715e+01	1.38171728146514e+00,-5.10091947744678e-01
2.99709709709710e+01	1.37421595999743e+00,-5.18740288807689e-01
3.04704704704705e+01	1.36651491885045e+00,-5.27360393517423e-01
3.09699699699700e+01	1.35861049800224e+00,-5.35948931853662e-01
3.14694694694695e+01	1.35049900588242e+00,-5.44502373787183e-01
3.19689689689690e+01	1.34217672469271e+00,-5.53016981358984e-01
3.24684684684685e+01	1.33363991624733e+00,-5.61488800611687e-01
3.29679679679680e+01	1.32488482836680e+00,-5.69913653388892e-01
3.34674674674675e+01	1.31590770185926e+00,-5.78287129020876e-01
3.39669669669670e+01	1.30670477812492e+00,-5.86604575917890e-01
3.44664664664665e+01	1.29727230741982e+00,-5.94861093095501e-01
3.49659659659660e+01	1.28760655781605e+00,-6.03051521659710e-01
3.54654654654655e+01	1.27770382489619e+00,-6.11170436283317e-01
3.59649649649650e+01	1.26756044222005e+00,-6.19212136708873e-01
3.64644644644645e+01	1.25717279260219e+00,-6.27170639317844e-01
3.69639639639640e+01	1.24653732023852e+00,-6.35039668810039e-01
3.74634634634635e+01	1.23565054372003e+00,-6.42812650042250e-01
3.79629629629630e+01	1.22450906997098e+00,-6.50482700080051e-01
3.84624624624625e+01	1.21310960914786e+00,-6.58042620522199e-01
3.89619619619620e+01	1.20144899053384e+00,-6.65484890162638e-01
3.94614614614615e+01	1.18952417946166e+00,-6.72801658061128e-01
3.99609609609610e+01	1.17733229529508e+00,-6.79984737099658e-01
4.04604604604605e+01	1.16487063049604e+00,-6.87025598108221e-01
4.09599599599600e+01	1.15213667080099e+00,-6.93915364650152e-01
4.14594594594595e+01	1.13912811652492e+00,-7.00644808563932e-01
4.19589589589590e+01	1.12584290500670e+00,-7.07204346365262e-01
4.24584584584585e+01	1.11227923420293e+00,-7.13584036620068e-01
4.29579579579580e+01	1.09843558743026e+00,-7.19773578405985e-01
4.34574574574575e+01	1.08431075924825e+00,-7.25762310986575e-01
4.39569569569570e+01	1.06990388246549e+00,-7.31539214829149e-01
4.44564564564565e+01	1.05521445624141e+00,-7.37092914103196e-01
4.49559559559560e+01	1.04024237524479e+00,-7.42411680802270e-01
4.54554554554555e+01	1.02498795981736e+00,-7.47483440637400e-01
4.59549549549550e+01	1.00945198707671e+00,-7.52295780854486e-01
4.64544544544545e+01	9.93635722878021e-01,-7.56835960131844e-01
4.69539539539540e+01	9.77540954537307e-01,-7.61090920716455e-01
4.74534534534535e+01	9.61170024201378e-01,-7.65047302958774e-01
4.79529529529530e+01	9.44525862730895e-01,-7.68691462405668e-01
4.84524524524525e+01	9.27612023942915e-01,-7.72009489609097e-01
4.89519519519520e+01	9.10432719038233e-01,-7.74987232804275e-01
4.94514514514515e+01	8.92992851016968e-01,-7.77610323604969e-01
4.99509509509510e+01	8.75298048863213e-01,-7.79864205855144e-01
5.04504504504505e+01	8.57354701256264e-01,-7.81734167765063e-01
5.09499499499500e+01	8.39169989542555e-01,-7.83205377445962e-01
5.14494494494495e+01	8.20751919678861e-01,-7.84262921940391e-01
5.19489489489490e+01	8.02109352834217e-01,-7.84891849824924e-01
5.24484484484485e+01	7.83252034315498e-01,-7.85077217438225e-01
5.29479479479480e+01	7.64190620460369e-01,-7.84804138760008e-01
5.34474474474475e+01	7.44936703121623e-01,-7.84057838935452e-01
5.39469469469470e+01	7.25502831349328e-01,-7.82823711404859e-01
5.44464464464464e+01	7.05902529862497e-01,-7.81087378559906e-01
5.49459459459459e+01	6.86150313890296e-01,-7.78834755805903e-01
5.54454454454454e+01	6.66261699955273e-01,-7.76052118864035e-01
5.59449449449449e+01	6.46253212167877e-01,-7.72726174099140e-01
5.64444444444444e+01	6.26142383603568e-01,-7.68844131607315e-01
5.69439439439439e+01	6.05947752341576e-01,-7.64393780744256e-01
5.74434434434434e+01	5.85688851758476e-01,-7.59363567720093e-01
5.79429429429429e+01	5.65386194690625e-01,-7.53742674830488e-01
5.84424424424424e+01	5.45061251107864e-01,-7.47521100837622e-01
5.89419419419419e+01	5.24736418976762e-01,-7.40689741959360e-01
5.94414414414414e+01	5.04434988035589e-01,-7.33240472871435e-01
5.99409409409409e+01	4.84181096255153e-01,-7.25166227076951e-01
6.04404404404404e+01	4.63999678819584e-01,-7.16461075951178e-01
6.09399399399399e+01	4.43916409528915e-01,-7.07120305728619e-01
6.14394394394394e+01	4.23957634600500e-01,-6.97140491665034e-01
6.19389389389389e+01	4.04150298928258e-01,-6.86519568580675e-01
6.24384384384384e+01	3.84521864946687e-01,-6.75256896973752e-01
6.29379379379379e+01	3.65100224339491e-01,-6.63353323886086e-01
6.34374374374374e+01	3.45913602929234e-01,-6.50811237707233e-01
6.39369369369369e+01	3.26990459183271e-01,-6.37634616119819e-01
6.44364364364364e+01	3.08359376870659e-01,-6.23829066418091e-01
6.49359359359359e+01	2.90048952503040e-01,-6.09401857474376e-01
6.54354354354354e+01	2.72087678287679e-01,-5.94361942684168e-01
6.59349349349349e+01	2.54503821411012e-01,-5.78719973290072e-01
6.64344344344344e+01	2.37325300554125e-01,-5.62488301567300e-01
6.69339339339339e+01	2.20579560615552e-01,-5.45680973448033e-01
6.74334334334334e+01	2.04293446679806e-01,-5.28313710267787e-01
6.79329329329329e+01	1.88493078320205e-01,-5.10403879432456e-01
6.84324324324324e+01	1.73203725360435e-01,-4.91970453928256e-01
6.89319319319319e+01	1.58449686239321e-01,-4.73033960726393e-01
6.94314314314314e+01	1.44254170126698e-01,-4.53616418267731e-01
6.99309309309309e+01	1.30639183924076e-01,-4.33741263347541e-01
7.04304304304304e+01	1.17625425251996e-01,-4.13433267854139e-01
7.09299299299299e+01	1.05232182476384e-01,-3.92718445945221e-01
7.14294294294294e+01	9.34772427595461e-02,-3.71623952369413e-01
7.19289289289289e+01	8.23768090385071e-02,-3.50177972755400e-01
7.24284284284284e+01	7.19454267355822e-02,-3.28409606794800e-01
7.29279279279279e+01	6.21959208950184e-02,-3.06348745335351e-01
7.34274274274274e+01	5.31393443173502e-02,-2.84025942476404e-01
7.39269269269269e+01	4.47849371319862e-02,-2.61472283817432e-01
7.44264264264264e+01	3.71400981110494e-02,-2.38719252051325e-01
7.49259259259259e+01	3.02103678862976e-02,-2.15798591116922e-01
7.54254254254254e+01	2.39994240886685e-02,-1.92742170129183e-01
7.59249249249249e+01	1.85090882894600e-02,-1.69581848290958e-01
7.64244244244244e+01	1.37393444858753e-02,-1.46349341957839e-01
7.69239239239239e+01	9.68836874418425e-03,-1.23076094978433e-01
7.74234234234234e+01	6.35256949324659e-03,-9.97931533673940e-02
7.79229229229229e+01	3.72663785166007e-03,-7.65310452900213e-02
7.84224224224224e+01	1.80360727492992e-03,-5.33196672464201e-02
7.89219219219219e+01	5.74921726133847e-04,-3.01881772428468e-02
7.94214214214214e+01	3.05115055471358e-05,-7.16489562966135e-03
7.99209209209209e+01	1.58875822101728e-04,1.57227858279771e-02
8.04204204204204e+01	9.47171152631210e-04,3.84484861969948e-02
8.09199199199199e+01	2.38130441340160e-03,6.09869086082041e-02
8.14194194194194e+01	4.44602996198987e-03,8.33139042562009e-02
8.19189189189189e+01	7.12504945534004e-03,1.05406527062791e-01
8.24184184184184e+01	1.04011136107917e-02,1.27243079006795e-01
8.29179179179179e+01	1.42561249497968e-02,1.48803146223650e-01
8.34174174174174e+01	1.86712406475044e-02,1.70067626071045e-01
8.39169169169169e+01	2.36269746639067e-02,1.91018745440684e-01
8.44164164164164e+01	2.91032983922391e-02,2.11640070670459e-01
8.49159159159159e+01	3.50797391261775e-02,2.31916509475463e-01
8.54154154154154e+01	4.15354757175799e-02,2.51834305369946e-01
8.59149149149149e+01	4.84494308694560e-02,2.71381025095690e-01
8.64144144144144e+01	5.58003595832217e-02,2.90545539605487e-01
8.69139139139139e+01	6.35669333536497e-02,3.09317999173781e-01
8.74134134134134e+01	7.17278197781945e-02,3.27689803220689e-01
8.79129129129129e+01	8.02617573184293e-02,3.45653565441170e-01
8.84124124124124e+01	8.91476250193220e-02,3.63203074828789e-01
8.89119119119119e+01	9.83645070562655e-02,3.80333253174212e-01
8.94114114114114e+01	1.07891752039569e-01,3.97040109603042e-01
8.99109109109109e+01	1.17709027061048e-01,4.13320692696814e-01
9.04104104104104e+01	1.27796366517188e-01,4.29173040715695e-01
9.09099099099099e+01	1.38134215787815e-01,4.44596130412662e-01
9.14094094094094e+01	1.48703469888385e-01,4.59589824897277e-01
9.19089089089089e+01	1.59485507247735e-01,4.74154820973625e-01
9.24084084084084e+01	1.70462218791785e-01,4.88292596342011e-01
9.29079079079079e+01	1.81616032537223e-01,5.02005357018458e-01
9.34074074074074e+01	1.92929933918052e-01,5.15295985290300e-01
9.39069069069069e+01	2.04387482082314e-01,5.28167988490895e-01
9.44064064064064e+01	2.15972822406539e-01,5.40625448841942e-01
9.49059059059059e+01	2.27670695482086e-01,5.52672974578586e-01
9.54054054054054e+01	2.39466442830671e-01,5.64315652540594e-01
9.59049049049049e+01	2.51346009606584e-01,5.75559002382740e-01
9.64044044044044e+01	2.63295944540661e-01,5.86408932529195e-01
9.69039039039039e+01	2.75303397376334e-01,5.96871697970403e-01
9.74034034034034e+01	2.87356114041468e-01,6.06953859976621e-01
9.79029029029029e+01	2.99442429791464e-01,6.16662247780163e-01
9.84024024024024e+01	3.11551260549533e-01,6.26003922258210e-01
9.89019019019019e+01	3.23672092659576e-01,6.34986141630100e-01
9.94014014014014e+01	3.35794971255715e-01,6.43616329166856e-01
9.99009009009009e+01	3.47910487440751e-01,6.51902042896702e-01
1.00400400400400e+02	3.60009764453610e-01,6.59850947277902e-01
1.00899899899900e+02	3.72084442993541e-01,6.67470786799797e-01
1.01399399399399e+02	3.84126665856528e-01,6.74769361463874e-01
1.01898898898899e+02	3.96129062027185e-01,6.81754504089297e-01
1.02398398398398e+02	4.08084730357460e-01,6.88434059381209e-01
1.02897897897898e+02	4.19987222951980e-01,6.94815864695337e-01
1.03397397397397e+02	4.31830528368561e-01,7.00907732428661e-01
1.03896896896897e+02	4.43609054731858e-01,7.06717433963358e-01
1.04396396396396e+02	4.55317612847843e-01,7.12252685089353e-01
1.04895895895896e+02	4.66951399397235e-01,7.17521132829982e-01
1.05395395395395e+02	4.78505980276937e-01,7.22530343594944e-01
1.05894894894895e+02	4.89977274150039e-01,7.27287792585126e-01
1.06394394394394e+02	5.01361536257054e-01,7.31800854374815e-01
1.06893893893894e+02	5.12655342533779e-01,7.36076794598105e-01
1.07393393393393e+02	5.23855574074310e-01,7.40122762668058e-01
1.07892892892893e+02	5.34959401971686e-01,7.43945785459234e-01
1.08392392392392e+02	5.45964272562805e-01,7.47552761886409e-01
1.08891891891892e+02	5.56867893099233e-01,7.50950458314859e-01
1.09391391391391e+02	5.67668217860735e-01,7.54145504740136e-01
1.09890890890891e+02	5.78363434724212e-01,7.57144391678038e-01
1.10390390390390e+02	5.88951952196907e-01,7.59953467708194e-01
1.10889889889890e+02	5.99432386919373e-01,7.62578937617605e-01
1.11389389389389e+02	6.09803551640677e-01,7.65026861093212e-01
1.11888888888889e+02	6.20064443665702e-01,7.67303151915438e-01
1.12388388388388e+02	6.30214233772030e-01,7.69413577607407e-01
1.12887887887888e+02	6.40252255591909e-01,7.71363759497267e-01
1.13387387387387e+02	6.50177995453033e-01,7.73159173153678e-01
1.13886886886887e+02	6.59991082670368e-01,7.74805149157140e-01
1.14386386386386e+02	6.69691280280001e-01,7.76306874172276e-01
1.14885885885886e+02	6.79278476204884e-01,7.77669392288617e-01
1.15385385385385e+02	6.88752674841550e-01,7.78897606599701e-01
1.15884884884885e+02	6.98113989056073e-01,7.79996280992499e-01
1.16384384384384e+02	7.07362632577078e-01,7.80970042121273e-01
1.16883883883884e+02	7.16498912773126e-01,7.81823381541923e-01
